FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,132,263.71,192.00,0.00,86.40
2019,133,192.00,192.00,0.00,14.69
2019,134,242.59,192.00,0.00,65.28
2019,135,254.11,192.00,0.00,76.80
2019,136,263.71,192.00,0.00,86.40
2019,137,204.00,204.00,0.00,15.61
2019,138,257.75,204.00,0.00,69.36
2019,139,269.99,204.00,0.00,81.60
2019,140,280.19,204.00,0.00,91.80
2019,141,204.00,204.00,0.00,15.61
2019,142,257.75,204.00,0.00,69.36
2019,143,269.99,204.00,0.00,81.60
2019,144,280.19,204.00,0.00,91.80
2019,145,216.00,216.00,0.00,16.52
2019,146,272.92,216.00,0.00,73.44
2019,147,285.88,216.00,0.00,86.40
2019,148,296.68,216.00,0.00,97.20
2019,149,216.00,216.00,0.00,16.52
2019,150,272.92,216.00,0.00,73.44
2019,151,285.88,216.00,0.00,86.40
2019,152,296.68,216.00,0.00,97.20
2019,153,228.00,228.00,0.00,17.44
2019,154,288.08,228.00,0.00,77.52
2019,155,301.76,228.00,0.00,91.20
2019,156,313.16,228.00,0.00,102.60
2019,157,228.00,228.00,0.00,17.44
2019,158,288.08,228.00,0.00,77.52
2019,159,301.76,228.00,0.00,91.20
2019,160,313.16,228.00,0.00,102.60
2019,161,240.00,240.00,0.00,18.36
2019,162,303.24,240.00,0.00,81.60
2019,163,317.64,240.00,0.00,96.00
2019,164,329.64,240.00,0.00,108.00
2019,165,240.00,240.00,0.00,18.36
2019,166,303.24,240.00,0.00,81.60
2019,167,317.64,240.00,0.00,96.00
2019,168,329.64,240.00,0.00,108.00
2019,169,252.00,252.00,0.00,19.28
2019,170,318.40,252.00,0.00,85.68
2019,171,333.52,252.00,0.00,100.80
2019,172,346.12,252.00,0.00,113.40
2019,173,252.00,252.00,0.00,19.28
2019,174,318.40,252.00,0.00,85.68
2019,175,333.52,252.00,0.00,100.80
2019,176,346.12,252.00,0.00,113.40
2019,177,264.00,264.00,0.00,20.20
2019,178,333.56,264.00,0.00,89.76
2019,179,349.40,264.00,0.00,105.60
2019,180,362.60,264.00,0.00,118.80
2019,181,264.00,264.00,0.00,20.20
2019,182,333.56,264.00,0.00,89.76
2019,183,349.40,264.00,0.00,105.60
2019,184,362.60,264.00,0.00,118.80
2019,185,276.00,276.00,0.00,21.11
2019,186,348.73,276.00,0.00,93.84
2019,187,365.29,276.00,0.00,110.40
2019,188,379.09,276.00,0.00,124.20
2019,189,276.00,276.00,0.00,21.11
2019,190,348.73,276.00,0.00,93.84
2019,191,365.29,276.00,0.00,110.40
2019,192,379.09,276.00,0.00,124.20
2019,193,288.00,288.00,0.00,22.03
2019,194,363.89,288.00,0.00,97.92
2019,195,381.17,288.00,0.00,115.20
